id_str,created_at,text,name,screen_name,profile_image_url
'417545608434814976',"Mon Dec 30 06:40:05 +0000 2013","We'll appeal against clean chit to Modi: Teesta Setalvad http://t.co/u1mKn7zVsS","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'417545378251026433',"Mon Dec 30 06:39:10 +0000 2013","RT @kanikamaheshwa_: Shooting for the next episode of #NachBaliye, we came up with this act in just one day hope everyone likes it :) @Star…","STAR Plus",StarPlus,http://pbs.twimg.com/profile_images/2424887382/i5wwae659zjg0tf40e05_normal.jpeg
'417544342564536320',"Mon Dec 30 06:35:03 +0000 2013","Streetchildren fax their demands to Delhi's new CM Arvind Kejriwal  http://t.co/oesDtgluEK","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'417543770054221825',"Mon Dec 30 06:32:47 +0000 2013","Karan Johar bonds with Kiran Rao.- http://t.co/ZdGEsdpspE :: http://t.co/SAww66aUNv",Filmfare,filmfare,http://pbs.twimg.com/profile_images/413179285596151808/FAbXzK8E_normal.jpeg
'417543333968232448',"Mon Dec 30 06:31:03 +0000 2013","""To live a creative life, we must lose our fear of being wrong."" - Joseph Chilton Pearce #BuddhaSays","Zee TV",ZeeTV,http://pbs.twimg.com/profile_images/378800000584611049/8be5c699eacc8154f8c6576f355eb39c_normal.png
'417543148911747073',"Mon Dec 30 06:30:18 +0000 2013","Ineligible members may lose Adarsh investment  http://t.co/BI5GZ4WHSs","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'417542920426639360',"Mon Dec 30 06:29:24 +0000 2013","“@ImAdityaNarayan: “@SunidhiChauhan5: Papa n me! http://t.co/JOpmTwoOTE” you look like Dushu's granddaughter after the haircut 😝”😤😝","Sunidhi Chauhan",SunidhiChauhan5,http://pbs.twimg.com/profile_images/415704006132891648/ryuqq2o9_normal.jpeg
'417541821024456704',"Mon Dec 30 06:25:02 +0000 2013","Delhi transport minister Saurabh Bharadwaj loses cellphone during swearing-in ceremony  http://t.co/K3oIMTnyu7","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'417540683772473344',"Mon Dec 30 06:20:31 +0000 2013","Police deployed outside Amitabh Bachchan's bungalow fearing protests by Samajwadi Party workers http://t.co/4a6ppozhrH","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'417539763361808384',"Mon Dec 30 06:16:51 +0000 2013","Govt requests to take down 36 'fake' accounts  http://t.co/qWkpQrfLAf","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'417539320397172736',"Mon Dec 30 06:15:06 +0000 2013","Meet Mohammed Chaman, #AAP's 'cap aadmi'  http://t.co/RmExVjF9nZ","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
'417538499051413504',"Mon Dec 30 06:11:50 +0000 2013","RT @kanikamaheshwa_: tried to reply back to all the tweets while on my way for #NachBaliye shoot. Sorry if I have missed out on any :)","STAR Plus",StarPlus,http://pbs.twimg.com/profile_images/2424887382/i5wwae659zjg0tf40e05_normal.jpeg
'417538202837086208',"Mon Dec 30 06:10:39 +0000 2013","RT @gautam_rode: Gm friends have a great day ahead:) Shooting for #NachBaliye today... will have fun today yipee:) tc friends","STAR Plus",StarPlus,http://pbs.twimg.com/profile_images/2424887382/i5wwae659zjg0tf40e05_normal.jpeg
'417538158117797888',"Mon Dec 30 06:10:29 +0000 2013","Broken a traffic rule? Soon, pay fine with plastic money http://t.co/jMDx1LqSwC","Times of India",timesofindia,http://pbs.twimg.com/profile_images/378800000305502066/87104f81cf9226166b63c98735bfca58_normal.jpeg
